,publish_date,category,city,zip_code,street,crime_date,crime_time,add_notes
136," March 4, 2022",Vehicle theft,Columbia,21045,"7000 block of Deepage Drive, ",March 3,,
137," March 3, 2022",Theft from vehicle/vehicle break-in,Laurel,20723,"9000 block of Old Scaggsville Road, ",March 1-2,,
138," March 3, 2022",Theft from vehicle/vehicle break-in,Columbia,21046,"6300 block of Woodside Court, ",March 1-2,,
139," March 3, 2022",Vehicle theft,Laurel,20723,9600 block of Coronet Court,March 1-2,,
143," March 1-2, 2022",Residential burglary,Ellicott City,21043,4900 block of Montgomery Road,Feb. 24-,,
144," March 1-2, 2022",Theft from vehicle/vehicle break-in,Columbia,21046,"9300 block of Gerwig Lane, ",March 1,,
145," March 1-2, 2022",Theft from vehicle/vehicle break-in,Ellicott City,21043,"6000 block of University Boulevard, ",March 1,,
146," March 1-2, 2022",Theft from vehicle/vehicle break-in,Columbia,21044,"11200 block of Slalom Lane, ",March 1-2,,
147," March 1-2, 2022",Vehicle theft,Elkridge,21075,7000 block of New Colony Boulevard,March 1,,
148," March 1-2, 2022",Vehicle theft,Laurel,20723,9000 block of Old Scaggsville Road,March 2,,
161," February 28, 2022",Theft from vehicle/vehicle break-in,Jessup,20794,"8200 block of Patuxent Range Road, ",Feb. 25,,
162," February 28, 2022",Theft from vehicle/vehicle break-in,Elkridge,21075,"7800 block of Washington Boulevard, ",Feb. 25,2:47 p.m.,
163," February 28, 2022",Theft from vehicle/vehicle break-in,Columbia,21046,"9200 block of Berger Road, ",Feb. 26-28,,
164," February 28, 2022",Vehicle theft,Columbia,21045,5900 block of Cedar Fern,Feb. 25-26,,
